Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
PRESBYTERIAN HOSPITAL - HAMON TOWER	Routine	2024-01-22	98	8200	WALNUT HILL		LN		8200 WALNUT HILL LN	75231	*31 Individual, disposable towels	2.0	228.175  Physical Facilities.          Handwashing Sinks.          (c) Hand drying provision.  Each handwashing lavatory or group of adjacent lavatories shall be provided with:          (1) individual, disposable towels;																																																																																																		Jan 2024	FY2024	8200 WALNUT HILL LN
B&S MART	Routine	2024-02-01	92	8024	FERGUSON		RD		8024 FERGUSON RD	75228	*29 Cold/hot hold unit thermometer easily viewable	2.0	228.106  Equipment, Utensils, and Linens.          Functionality of equipment.          (l) Temperature measuring devices.         (2) Except as specified in paragraph (3) of this subsection, cold or hot holding equipment used for time/temperature control for safety (TCS) food shall be designed to include and shall be equipped with at least one integral or permanently affixed temperature measuring device that is located to allow easy viewing of the device's temperature display.	RIC (3 of them) missing thermometers	*31 Individual, disposable towels	2.0	228.175  Physical Facilities.          Handwashing Sinks.          (c) Hand drying provision.  Each handwashing lavatory or group of adjacent lavatories shall be provided with:          (1) individual, disposable towels;	no paper towels provided in restroom	*34 Outer door: solid,selfclosing,tightfitting	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (C) solid self-closing, tight-fitting doors.	fix gap observed at back door	*42 Floors/walls/ceiling/nonfood dirty	1.0	228.114  Equipment, Utensils, and Linens.          Frequency of cleaning.          (c) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment shall be cleaned at a frequency necessary to preclude accumulation of soil residues.	clean floor around walls/ displays/ shelves	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	hang mops to dry when not in use	*44 Waste receptacles outdoors/tight fitting lids	1.0	228.152  Water, Plumbing, and Waste.          Refuse, Recyclables, and Returnables, Facilities on the Premises.          (n) Covering receptacles.  Receptacles and waste handling units for refuse, recyclables, and returnables shall be kept covered:          (2) with tight-fitting lids or doors if kept outside the food establishment.	dumpsters must be kept closed when not in use																																																																													Feb 2024	FY2024	8024 FERGUSON RD
PANADERIA LA UNION/RESTAURANT	Routine	2024-01-29	89	10618	FERGUSON		RD		10618 FERGUSON RD	75228	*19 One Inch Air Gap	3.0	228.146  Water, Plumbing, and Waste.          Plumbing design, construction, and installation.          (c) Backflow prevention, air gap.  An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than 25 mm  (1 inch).	air gap needed at back drain	*28 Date marking commercially prepared RTE/ TCS food	2.0	228.75  Food.          Time and temperature control.               (g) Ready-to-eat, TCS food, date marking.         (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:          (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	date gallon of milk once opened	*31 Handwashing lavatory - allow convenient	2.0	228.148  Water, Plumbing, and Waste.          Plumbing, location and placement.          (a) Handwashing facility.  Handwashing facilities shall be located:                (1) to allow convenient use by employees in food preparation, food dispensing, and warewashing areas; and	hand sink not accessible (back)	*42 Nonfood-contact surfaces material	1.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (i) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment that are exposed to splash, spillage, or other food soiling or that require frequent cleaning shall be constructed of a corrosion-resistant, nonabsorbent, and smooth material.	clean food containers (outside)	*44 Trash can provided for papertowel waste	1.0	228.152  Water, Plumbing, and Waste.          Refuse, Recyclables, and Returnables, Facilities on the Premises.          (g) Storage areas, rooms, and receptacles, capacity and availability.          (3) If disposable towels are used at handwashing lavatories, a waste receptacle shall be located at each lavatory or group of adjacent lavatories.	trash can must be provided at hand sinks	*45Floor, wall, ceiling - Exposed material	1.0	(c)     Floors, walls, and ceilings.                (1)     A food establishment containing a food handling area, food processing area, food preparation area, food storage area, equipment or utensil washing area, walk-in refrigerating unit, dressing room, locker room, toilet room, or vestibule shall:  (C)     prevent exposed construction in these areas, including but not limited to the exposure of pipes, conduits, ductwork, studs, joists, and rafters;	replace missing/ dirty ceiling tiles	*47 Handwashing signage	1.0	228.175  Physical Facilities.          Handwashing Sinks.          (e) Handwashing signage. A sign or poster that notifies food employees to wash their hands shall be provided at all handwashing sinks used by food employees and shall be clearly visible to food employees.	need hand washing signs at hand sinks																																																																									Jan 2024	FY2024	10618 FERGUSON RD
FISH CITY GRILL	Routine	2024-01-30	92	10720	PRESTON		RD	#1007	10720 PRESTON RD #1007	75230	*35 Jewelry Prohibition	1.0	228.40  Management and Personnel.          Jewelry Prohibition.       Except for a plain ring such as a wedding band, while preparing food, food employees may not wear jewelry including medical information jewelry on their arms and hands.	employees cant wear jewelry (bracelets)	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	store wet wiping cloths in sanitizer bucket	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	Dispose item in walk in cooler after date mark expiration	*06 Time as PHC:provide written procedures on site	3.0	228.75  Food.          Time and temperature control.         (i) Time as a public health control.   (1) Except as specified in paragraph (4) of this subsection if time without temperature control is used as the public health control for a working supply of TCS food before cooking, or for ready-to-eat TCS food that is displayed or held for sale or service. Written procedures shall be prepared in advance, maintained in the food establishment and made available to the regulatory authority upon request that specify:	use time for cut fruit in bar area	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	label the squeeze bottles																																																																																	Jan 2024	FY2024	10720 PRESTON RD #1007
GORDITAS LA MINA	Routine	2024-01-22	89	11200	HARRY HINES		BLVD	#E3	11200 HARRY HINES BLVD #E3	75229	*10 Sanitization after Cleaning	3.0	228.117  Equipment, Utensils, and Linens.         Sanitization Frequency, Before Use After Cleaning.  Utensils and food-contact surfaces of equipment shall be sanitized before use after cleaning.	No sanitizer, only washing with detergent.	*18 Medicines labeled and stored properly	3.0	228.209  Poisonous or Toxic Materials.            Medicines.          (a) Restriction and storage.          (2) Medicines that are in a food establishment for the employees' use shall be labeled as specified in õ228.201 of this title and located to prevent the contamination of food, equipment, utensils, linens, and single-service and single-use articles.	med stored improperly	*19 One Inch Air Gap	3.0	228.146  Water, Plumbing, and Waste.          Plumbing design, construction, and installation.          (c) Backflow prevention, air gap.  An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than 25 mm  (1 inch).	one inch air grap between 3-sink and floor gap	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	need date marking of liquids in RIC																																																																																					Jan 2024	FY2024	11200 HARRY HINES BLVD #E3
MURPHY'S DELI	Routine	2024-01-19	92	12001	CENTRAL	N	EXPW	#295	12001 N CENTRAL EXPW #295	75243	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.		*20 Grease Trap Tickets	3.0	Ch.19-126.5(c))     A producer shall sign the manifest from the transporter when a load is picked up by the transporter and shall keep a copy of all trip tickets at the producer#s business office for three years.  The director may inspect these records at any reasonable time.		*21 RFSM - Not On Site	2.0	Sec. 17-2.2(c)(1)(D)      (c) Registered food service managers. (1) Registered food service managers required.    (D) A food establishment shall have one registered food service manager employed and present in the establishment during all hours of operation, except that a registered food service manager serving multiple food establishments as authorized by Section 17-2.2(c)(1)(C) must only be present in the building in which the food establishment is located during all hours of operation.																																																																																										Jan 2024	FY2024	"12001 N CENTRAL EXPW #295
(39.842923148, -98.823445208)"
TRAVEL CENTER TAQUERIA	Follow-up	2024-01-17	86	8181	LANCASTER	S		#E	8181 S LANCASTER #E	75241	*14  When to wash hands before donning new gloves	3.0	228.38  Management and Personnel.          (d) When to wash. Food employees shall clean their hands and exposed portions of their arms as specified in subsection (b) of this section immediately before engaging in food preparation including working with exposed food, clean equipment and utensils, and unwrapped single-service and single-use articles  and: (8) before donning gloves to initiate a task that involves working with food;  and	wash hands before donning gloves	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.		*35 Eating food, chewing gum, drinking beverages, or using tobacco	1.0	228.42  Management and Personnel.        Food Contamination Prevention   (a) Eating, drinking, or using tobacco.      (1) except as specified in paragraph (2) of this subsection, an employee shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed food; clean equipment, utensils, and linens; unwrapped single-service and single-use articles; or other items needing protection cannot result.	personal items need to be in designated area	*42 Floors/walls/ceiling/nonfood dirty	1.0	228.114  Equipment, Utensils, and Linens.          Frequency of cleaning.          (c) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment shall be cleaned at a frequency necessary to preclude accumulation of soil residues.	Clean floor, cooler and gasket and walls.	*32 Equipment and Utensils Durability and Strength	2.0	228.103  Equipment, Utensils, and Linens.          Durability and strength.          (a) Equipment and utensils.  Equipment and utensils shall be designed and constructed to be durable and to retain their characteristic qualities under normal use conditions.	remove wooden shelves	*43 Light bulbs, light shields provided	1.0	228.174  Physical Facilities.          Functionality.          (a) Light bulbs, protective shielding.          (1) Except as specified in  paragraph (2) of this subsection, light bulbs shall be shielded, coated, or otherwise shatter-resistant in areas where there is exposed food; clean equipment, utensils, and linens; or unwrapped single-service and single-use articles.	Light bulb in vent hood is out	*39 Store  equipment & utensils - avoid contamination	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (1) Except as specified in paragraph (4) of this subsection, cleaned equipment and utensils, laundered linens, and single-service and single-use articles shall be stored:           (B) where they are not exposed to splash, dust, or other contamination; and	Remove ladder from the side of the cooler	*09  Food protected cross contamination arrange each type food in equipment so cross is prevented	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (ii) arranging each type of food in equipment so that cross contamination of one type with another is prevented; and	observed raw hamburger above bread in cooler, observed raw shelled eggs above RTE foods	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	Need to have a sign that says inspection report available upon request.																																																																	Jan 2024	FY2024	"8181 S LANCASTER #E
(42.89573, -78.63844)"
50305 LA SABROCITA #3 FRUTERIA	Routine	2024-01-17	90	9009	BRUTON		RD	441	9009 BRUTON RD 441	75227	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean caulk, shelves, gaskets, fan cover in wic	*37 Food protected from cross contamination by storing damaged, spoiled, or recalled food being held	1.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (G) storing damaged, spoiled or recalled food being held in the food establishment as specified in õ228.184 of this title (relating to Physical Facilities); and	remove strawberries, dented can	*14  When to wash hands before donning new gloves	3.0	228.38  Management and Personnel.          (d) When to wash. Food employees shall clean their hands and exposed portions of their arms as specified in subsection (b) of this section immediately before engaging in food preparation including working with exposed food, clean equipment and utensils, and unwrapped single-service and single-use articles  and: (8) before donning gloves to initiate a task that involves working with food;  and	wash hands before donning new gloves	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	provide sign about inspection report	*32 Equipment and Utensils Multiuse Materials durable	2.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (a) Characteristics.  Materials that are used in the construction of utensils and food-contact surfaces of equipment may not allow the migration of deleterious substances or impart colors, odors, or tastes to food and under normal use conditions shall be:          (2) durable, corrosion-resistant, and nonabsorbent;	cardboard not allowed as liner in walk in cooler	*34 Outer openings:closing holes, gaps	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (A) filling or closing holes and other gaps along floors, walls and ceilings;	repair gap at entrance door	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	provide label for food storage containers																																																																									Jan 2024	FY2024	9009 BRUTON RD 441
WALMART #3014 - DELI	Routine	2024-01-25	91	200	SHORT		BLVD		200 SHORT BLVD	75232	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	water leaking from 3 comp sink faucet	*35 Jewelry Prohibition	1.0	228.40  Management and Personnel.          Jewelry Prohibition.       Except for a plain ring such as a wedding band, while preparing food, food employees may not wear jewelry including medical information jewelry on their arms and hands.	observed employee wearing earrings while handling food	*37 Food shall be protected from contamination by storing the food in a clean, dry location	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:          (A) in a clean, dry location;	observed ice on food boxes on wif	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	must clean fans on wic	*39 Cooking equipment free of encrusted grease	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (2) The food-contact surfaces of cooking equipment and pans shall be kept free of encrusted grease deposits and other soil accumulations.	clean grease around fryers	*43 Ventilation hood systems, adequacy	1.0	228.107  Equipment, Utensils, and Linens.          Equipment, numbers and capacities.          (d) Ventilation hood systems, adequacy.  Ventilation hood systems and devices shall be sufficient in number and capacity to prevent grease or condensation from collecting on walls and ceilings.	provide catch bucket for catching grease on venter hood	*47 Handwashing signage	1.0	228.175  Physical Facilities.          Handwashing Sinks.          (e) Handwashing signage. A sign or poster that notifies food employees to wash their hands shall be provided at all handwashing sinks used by food employees and shall be clearly visible to food employees.	provide hand washing sign on hand sink																																																																									Jan 2024	FY2024	200 SHORT BLVD
CHINA WOK	Routine	2024-01-18	86	4849	SUNNYVALE		ST		4849 SUNNYVALE ST	75216	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	Can opener has residue, shall be clean to sight	*18 Use toxic according to manufacturer direction	3.0	228.204  Poisonous or Toxic Materials.            Presence and use.          (b) Conditions of use.  Poisonous or toxic materials shall be:          (1) used according to:          (B) manufacturer's use directions included in labeling, and, for a pesticide, manufacturer#s label instructions that state that use is allowed in a food establishment.	Keep sanitize solution at 50-100ppm of Cl	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	wiping cloths need to stored between use in bucket	*39 Store all equipment & utensil covered or inverted	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.         (2) Clean equipment and utensils shall be stored as specified under paragraph (1) of this subsection and shall be stored:          (B) covered or inverted.	utensils need to be inverted from contamination	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	mop water shall be drained and hanged	*46 Enclosed toilet room w/self closing doors	1.0	228.174  Physical Facilities.          Functionality.           (d) A toilet room located on the premises shall be completely enclosed and provided with a tight-fitting and self-closing door except that this requirement does not apply to a toilet room that is located outside a food establishment and does not open directly into the food establishment such as a toilet room that is provided by the management of a shopping mall.	RR door shall self close	*42 Nonfood-contact surfaces material	1.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (i) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment that are exposed to splash, spillage, or other food soiling or that require frequent cleaning shall be constructed of a corrosion-resistant, nonabsorbent, and smooth material.	shelves bottom for prep table has rust build up	*35 Eating food, chewing gum, drinking beverages, or using tobacco	1.0	228.42  Management and Personnel.        Food Contamination Prevention   (a) Eating, drinking, or using tobacco.      (1) except as specified in paragraph (2) of this subsection, an employee shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed food; clean equipment, utensils, and linens; unwrapped single-service and single-use articles; or other items needing protection cannot result.	observed personal drink at food prep table	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	vegetables observed in WIC on floor, shall be off floor 6 inches .	*40 Store single-service item in original package	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (3) Single-service and single-use articles shall be stored as specified under subparagraph (A) of this paragraph and shall be kept in the original protective package or stored by using other means that afford protection from contamination until used.	items stored between equipment not allowed																																																													Jan 2024	FY2024	4849 SUNNYVALE ST
LA NUEVA PUNTADA	Follow-up	2024-02-09	80	2445	BUCKNER	S	BLVD	#190	2445 S BUCKNER BLVD #190	75227	*03 Food products not maintained at 135øF or above	3.0	228.75  Food.          Time and temperature control.          (f) Time/temperature controlled for safety food, hot and cold holding.  (1) Except during preparation, cooking, or cooling, or when time is used as the public health control as specified in subsection (i) of this sectionin paragraphs (2) and (3) of this subsection, TCS food shall be maintained:                  (A) at 57 degrees Celsius (135 degrees Fahrenheit) or above, except that roasts cooked to a temperature and for a time specified in õ228.71(a)(2) of this title or reheated as specified in subsection õ228.73(e) of this title may be held at a temperature of 54 degrees Celsius (130 degrees Fahrenheit);	food on hot holding table not reach 135 degrees f or above (rice 125.6, beef 124.3, green sauce 122.6)	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	provide sign about inspection report	*34 Outer openings:closing holes, gaps	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (A) filling or closing holes and other gaps along floors, walls and ceilings;	repair gap at entrance door	*09  Food protected cross contamination arrange each type food in equipment so cross is prevented	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (ii) arranging each type of food in equipment so that cross contamination of one type with another is prevented; and	observed raw beef and raw pork stored above rte food	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	clearly date mark TCS food for 7 days only	*18 Toxic items stored above food/utensils	3.0	228.203  Poisonous or Toxic Materials.            Storage, separation.  Poisonous or toxic materials shall be stored so they cannot contaminate food, equipment, utensils, linens, and single-service and single-use articles by:          (2) locating the poisonous or toxic materials in an area that is not above food, equipment, utensils, linens, and single-service or single-use articles.  This paragraph does not apply to equipment and utensil cleaners and sanitizers that are stored in warewashing areas for availability and convenience if the materials are stored to prevent contamination of food, equipment, utensils, linens, and single-service and single-use articles.	chemicals stored above juices in storage room	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	provide label for food storage containers	*39 Store  equipment & utensils in a clean, dry place	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (1) Except as specified in paragraph (4) of this subsection, cleaned equipment and utensils, laundered linens, and single-service and single-use articles shall be stored:          (A) in a clean, dry location;	tongs	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	drying mops	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean gaskets, shelves	*32 Approved Food Contact Equip.	2.0	228.224   REQUIREMENTS APPLICABLE TO CERTAIN ESTABLISHMENTS     Outfitter Operations.          (i) Equipment. All equipment and utensils intended for food contact shall be approved for food use.	use approved material  as a liner	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	observed food sit on floor																																																					Feb 2024	FY2024	2445 S BUCKNER BLVD #190
